"salary","max","count"
"$40,000.00","$40,000.00",95346
"$40,001.00","$40,001.00",5
"$40,002.00","$40,002.00",10
"$40,003.00","$40,003.00",9
"$40,004.00","$40,004.00",9
"$40,005.00","$40,005.00",6
"$40,006.00","$40,006.00",10
"$40,007.00","$40,007.00",1
"$40,008.00","$40,008.00",1
"$40,009.00","$40,009.00",7
"$40,010.00","$40,010.00",8
"$40,011.00","$40,011.00",3
"$40,012.00","$40,012.00",11
"$40,013.00","$40,013.00",3
"$40,014.00","$40,014.00",4
"$40,015.00","$40,015.00",5
"$40,016.00","$40,016.00",9
"$40,017.00","$40,017.00",4
"$40,018.00","$40,018.00",5
"$40,019.00","$40,019.00",2
"$40,020.00","$40,020.00",6
"$40,021.00","$40,021.00",6
"$40,022.00","$40,022.00",5
"$40,023.00","$40,023.00",8
"$40,024.00","$40,024.00",7
"$40,025.00","$40,025.00",4
"$40,026.00","$40,026.00",7
"$40,027.00","$40,027.00",4
"$40,028.00","$40,028.00",6
"$40,029.00","$40,029.00",1
"$40,030.00","$40,030.00",5
"$40,031.00","$40,031.00",2
"$40,032.00","$40,032.00",6
"$40,033.00","$40,033.00",8
"$40,034.00","$40,034.00",8
"$40,035.00","$40,035.00",3
"$40,036.00","$40,036.00",6
"$40,037.00","$40,037.00",5
"$40,038.00","$40,038.00",10
"$40,039.00","$40,039.00",8
"$40,040.00","$40,040.00",5
"$40,041.00","$40,041.00",6
"$40,042.00","$40,042.00",4
"$40,043.00","$40,043.00",5
"$40,044.00","$40,044.00",6
"$40,045.00","$40,045.00",7
"$40,046.00","$40,046.00",6
"$40,047.00","$40,047.00",12
"$40,048.00","$40,048.00",5
"$40,049.00","$40,049.00",12
"$40,050.00","$40,050.00",9
"$40,051.00","$40,051.00",1
"$40,052.00","$40,052.00",10
"$40,053.00","$40,053.00",8
"$40,054.00","$40,054.00",5
"$40,055.00","$40,055.00",7
"$40,056.00","$40,056.00",8
"$40,057.00","$40,057.00",8
"$40,058.00","$40,058.00",8
"$40,059.00","$40,059.00",5
"$40,060.00","$40,060.00",2
"$40,061.00","$40,061.00",2
"$40,062.00","$40,062.00",2
"$40,063.00","$40,063.00",8
"$40,064.00","$40,064.00",5
"$40,065.00","$40,065.00",8
"$40,066.00","$40,066.00",5
"$40,067.00","$40,067.00",6
"$40,068.00","$40,068.00",3
"$40,069.00","$40,069.00",6
"$40,070.00","$40,070.00",5
"$40,071.00","$40,071.00",6
"$40,072.00","$40,072.00",11
"$40,073.00","$40,073.00",4
"$40,074.00","$40,074.00",6
"$40,075.00","$40,075.00",9
"$40,076.00","$40,076.00",5
"$40,077.00","$40,077.00",7
"$40,078.00","$40,078.00",3
"$40,079.00","$40,079.00",9
"$40,080.00","$40,080.00",3
"$40,081.00","$40,081.00",8
"$40,082.00","$40,082.00",7
"$40,083.00","$40,083.00",10
"$40,084.00","$40,084.00",5
"$40,085.00","$40,085.00",1
"$40,086.00","$40,086.00",2
"$40,087.00","$40,087.00",10
"$40,088.00","$40,088.00",10
"$40,089.00","$40,089.00",2
"$40,090.00","$40,090.00",7
"$40,091.00","$40,091.00",3
"$40,092.00","$40,092.00",8
"$40,093.00","$40,093.00",8
"$40,094.00","$40,094.00",4
"$40,095.00","$40,095.00",9
"$40,096.00","$40,096.00",6
"$40,097.00","$40,097.00",9
"$40,098.00","$40,098.00",7
"$40,099.00","$40,099.00",7
"$40,100.00","$40,100.00",5
"$40,101.00","$40,101.00",4
"$40,102.00","$40,102.00",5
"$40,103.00","$40,103.00",5
"$40,104.00","$40,104.00",5
"$40,105.00","$40,105.00",7
"$40,106.00","$40,106.00",7
"$40,107.00","$40,107.00",4
"$40,108.00","$40,108.00",8
"$40,109.00","$40,109.00",5
"$40,110.00","$40,110.00",4
"$40,111.00","$40,111.00",7
"$40,112.00","$40,112.00",6
"$40,113.00","$40,113.00",6
"$40,114.00","$40,114.00",5
"$40,115.00","$40,115.00",4
"$40,116.00","$40,116.00",7
"$40,117.00","$40,117.00",8
"$40,118.00","$40,118.00",8
"$40,119.00","$40,119.00",9
"$40,120.00","$40,120.00",5
"$40,121.00","$40,121.00",6
"$40,122.00","$40,122.00",3
"$40,123.00","$40,123.00",7
"$40,124.00","$40,124.00",1
"$40,125.00","$40,125.00",6
"$40,126.00","$40,126.00",8
"$40,127.00","$40,127.00",1
"$40,128.00","$40,128.00",6
"$40,129.00","$40,129.00",4
"$40,130.00","$40,130.00",6
"$40,131.00","$40,131.00",8
"$40,132.00","$40,132.00",6
"$40,133.00","$40,133.00",4
"$40,134.00","$40,134.00",4
"$40,135.00","$40,135.00",9
"$40,136.00","$40,136.00",7
"$40,137.00","$40,137.00",5
"$40,138.00","$40,138.00",10
"$40,139.00","$40,139.00",5
"$40,140.00","$40,140.00",8
"$40,141.00","$40,141.00",1
"$40,142.00","$40,142.00",7
"$40,143.00","$40,143.00",4
"$40,144.00","$40,144.00",10
"$40,145.00","$40,145.00",8
"$40,146.00","$40,146.00",13
"$40,147.00","$40,147.00",6
"$40,148.00","$40,148.00",7
"$40,149.00","$40,149.00",3
"$40,150.00","$40,150.00",8
"$40,151.00","$40,151.00",5
"$40,152.00","$40,152.00",6
"$40,153.00","$40,153.00",4
"$40,154.00","$40,154.00",5
"$40,155.00","$40,155.00",6
"$40,156.00","$40,156.00",3
"$40,157.00","$40,157.00",5
"$40,158.00","$40,158.00",7
"$40,159.00","$40,159.00",5
"$40,160.00","$40,160.00",4
"$40,161.00","$40,161.00",4
"$40,162.00","$40,162.00",6
"$40,163.00","$40,163.00",5
"$40,164.00","$40,164.00",10
"$40,165.00","$40,165.00",8
"$40,166.00","$40,166.00",7
"$40,167.00","$40,167.00",5
"$40,168.00","$40,168.00",10
"$40,169.00","$40,169.00",6
"$40,170.00","$40,170.00",7
"$40,171.00","$40,171.00",10
"$40,172.00","$40,172.00",7
"$40,173.00","$40,173.00",6
"$40,174.00","$40,174.00",6
"$40,175.00","$40,175.00",6
"$40,176.00","$40,176.00",5
"$40,177.00","$40,177.00",4
"$40,178.00","$40,178.00",4
"$40,179.00","$40,179.00",5
"$40,180.00","$40,180.00",6
"$40,181.00","$40,181.00",4
"$40,182.00","$40,182.00",5
"$40,183.00","$40,183.00",5
"$40,184.00","$40,184.00",8
"$40,185.00","$40,185.00",5
"$40,186.00","$40,186.00",2
"$40,187.00","$40,187.00",7
"$40,188.00","$40,188.00",10
"$40,189.00","$40,189.00",10
